CRN	Subj	Crse	Sect	Title	Prof	Day	Beg	End	Bldg	Room	(Type)	Campus	Max	Avail	WaitCount
20588	CS	01104	 8	INTRO PROG/PROB SLV:PYTHON	"Zeits, Mark A"	T	1830	1945	BUNCE	156	(Class)	Main	31	31	0
20589	CS	01104	 9	INTRO PROG/PROB SLV:PYTHON	"Zeits, Mark A"	R	1830	1945	BUNCE	156	(Class)	Main	31	31	0
20580	CS	01104	 10	INTRO PROG/PROB SLV:PYTHON	"Righter, Aaron"	M	1830	1945	ROBSON	325	(Class)	Main	27	27	0
20597	CS	01110	 1	COMPUTING ENVIRONMENTS	"DiGialleonardo, Janice J"							Online	35	35	0
20598	CS	01110	 2	COMPUTING ENVIRONMENTS	"DiGialleonardo, Janice J"							Online	35	35	0
20599	CS	01110	 3	COMPUTING ENVIRONMENTS	"Dougherty, William E"							Online	35	35	0
20600	CS	01110	 4	COMPUTING ENVIRONMENTS	"Dougherty, William E"							Online	35	35	0
20601	CS	01110	 5	COMPUTING ENVIRONMENTS	"Amberths, Jasmine"							Online	35	35	0
20602	CS	01110	 6	COMPUTING ENVIRONMENTS	"Barnes, Karen Denise"							Online	35	35	0
21062	CS	01205	 5	COMPUTER LAB TECHNQ	STAFF							Main	28	28	0
21063	CS	01211	 1	PRINC OF INFORMATION SECURITY	"Gonzalez, Gilbert E."							Online	35	35	0
21064	CS	01501	 1	ESSENTIALS OF COMPUTER SCI I	"Petit, Thierry"							Online	35	35	0
21065	CS	01501	 2	ESSENTIALS OF COMPUTER SCI I	"Romero, Fernando"							Online	35	35	0
21066	CS	01502	 1	ESSENTIALS OF COMPUTER SCI II	"Chu, Heng Yi M"							Online	35	35	0
21067	CS	01502	 2	ESSENTIALS OF COMPUTER SCI II	"Berenbach, Brian A"							Online	35	35	0
24438	CS	02370	 1	INTRO TO INFO VISUALIZATION	"Sun, Bo"	TR	1100	1215	ROBSON	323	(Class)	Main	30	30	0
21068	CS	02421	 1	BIG DATA TOOLS AND TECHNIQUES	"Chandrasekaran, Ganesh"	T	1830	1945	ROBSON	211	(Class)	Main	30	30	0
24435	CS	02435	 1	DATABASE SYS:THEORY & PROGM	"Boccaleri, Dominic Alexander"	M	1830	1945	ROBSON	323	(Class)	Main	30	30	0
24436	CS	02435	 2	DATABASE SYS:THEORY & PROGM	"Trofimoff, Alejandro Erick"	R	1100	1215	ROBSON	121	(Class)	Main	30	30	0
24437	CS	02440	 1	DATA WAREHOUSING	"Leonchuck, Michael Blaise"	M	1830	1945	ROBSON	121	(Class)	Main	30	30	0
24439	CS	02480	 1	INTRODUCTION TO DATA MINING	"Witkowski, Jonathan"	R	1830	1945	ROBSON	323	(Class)	Main	30	30	0
21069	CS	02505	 1	DATA MINING I	"Yesilbas, Veysel"	T	1830	1945	JAMES	3114	(Class)	Main	68	68	0
21071	CS	02516	 1	"BIG DATA TOOLS AND TECHNIQUESASRC Fed Mission Solutions Eng only "	"Chandrasekaran, Ganesh"	R	1630	1900	(Class)			ASRC Fed Mission Solutions Eng	30	30	0
22277	CS	02516	 2	"BIG DATA TOOLS AND TECHNIQUESMS Data Science students only. "	"Chandrasekaran, Ganesh"	W	1830	1945	ROBSON	211	(Class)	Main	30	30	0
21076	CS	02530	 1	ADV DATABASE SYS:THEORY/PRO	"Burns, Edward Ewing"	M	1830	1945	ROWAN	117	(Class)	Main	90	90	0
21075	CS	02530	 2	ADV DATABASE SYS:THEORY/PRO	"Masterson, John J"	T	1830	1945	ENTPRZ	517	(Class)	Main	30	30	0
21074	CS	02530	 3	ADV DATABASE SYS:THEORY/PRO	"Long, Matthew Robert"	R	1830	1945	ROBSON	207	(Class)	Main	30	30	0
21084	CS	02605	 1	DATA MINING II	"Breitzman, Anthony F"	M	1530	1645	ROBSON	207	(Class)	Main	30	30	0
21085	CS	02620	 1	DATA WAREHOUSING	"Breitzman, Anthony F"	W	1230	1345	JAMES	3114	(Class)	Main	68	68	0
24451	CS	03351	 1	"CYBER SEC: FUND, PRIN AND APPS"	"Stinchcombe, Fred Alicioglu, Gulsum "	TR	1100	1215	JAMES	2108	(Class)	Main	20	20	0
24452	CS	03351	 2	"CYBER SEC: FUND, PRIN AND APPS"	"Stinchcombe, Fred Kairamkonda, Tarun Teja "	TR	1400	1515	JAMES	2108	(Class)	Main	20	20	0
24453	CS	03351	 3	"CYBER SEC: FUND, PRIN AND APPS"	"Stinchcombe, Fred Kairamkonda, Tarun Teja "	TR	1530	1645	JAMES	2108	(Class)	Main	20	20	0
24454	CS	03351	 4	"CYBER SEC: FUND, PRIN AND APPS"	"Vitale, Russell"	M	1830	1945	JAMES	2108	(Class)	Main	20	20	0
24455	CS	03351	 5	"CYBER SEC: FUND, PRIN AND APPS"	"Vitale, Russell"	T	1830	1945	JAMES	2108	(Class)	Main	20	20	0
24440	CS	03440	 1	CLOUD COMPUT & INTERNET THINGS	"Zilovic, Bojan"	M	1830	1945	ROBSON	207	(Class)	Main	10	10	0
24441	CS	03470	 1	CYBER OPERATIONS	"Patterson, Scott"	M	1830	1945	ROBSON	211	(Class)	Main	30	30	0
21089	CS	03500	 1	FOUNDATIONS OF CYBERSECURITY	"Davie, Michael S"	M	1830	1945	JAMES	3114	(Class)	Main	68	68	0
21091	CS	03506	 1	CYBERSECURITY MGT/POLICY/RISK	"Tarabah, Sally"	R	1830	1945	ROWAN	117	(Class)	Main	90	90	0
21092	CS	03551	 1	ADV CYBER SEC: PRINC AND APPS	"Campbell, Kevin L"	T	1830	1945	ROWAN	117	(Class)	Main	90	90	0
21095	CS	03570	 1	CYBER DEFENSE OP SYS & NETWKS	"Stinchcombe, Fred"	W	1400	1515	ROWAN	117	(Class)	Main	90	90	0
20500	CS	03580	 1	CLOUD CMP/INTERNET OF THINGS	"Zilovic, Bojan"	M	1830	1945	ROBSON	207	(Class)	Main	20	20	0
21104	CS	03695	 1	ADV TPS CYBER: LEGAL ISSUES	"Patterson, Scott"	M	1400	1515	JAMES	2113	(Class)	Main	24	24	0
21110	CS	04103	 1	COMPUTER SCI & PROGM	"Escajadillo Munoa, Jose Isaac Seedorf, Robert J "	M	1830	1945	BUNCE	156	(Class)	Main	31	31	0
21111	CS	04103	 2	COMPUTER SCI & PROGM	"Escajadillo Munoa, Jose Isaac Seedorf, Robert J "	T	1830	1945	ROBSON	121	(Class)	Main	31	31	0
21108	CS	04103	 3	COMPUTER SCI & PROGM	"Rea, James J."	W	1830	1945	JAMES	2113	(Class)	Main	28	28	0
21109	CS	04103	 4	COMPUTER SCI & PROGM	"Tinsley, Kevin F"	W	1830	1945	ENTPRZ	517	(Class)	Main	28	28	0
21112	CS	04113	 1	INTRO OBJ-ORIENT PRGRMMNG	"Chien, Chia C"	M	800	915	JAMES	3114	(Lecture)	Main	28	28	0
21113	CS	04113	 2	INTRO OBJ-ORIENT PRGRMMNG	"Chien, Chia C"	M	800	915	JAMES	3114	(Lecture)	Main	28	28	0
21114	CS	04113	 3	INTRO OBJ-ORIENT PRGRMMNG	"Rabbitz, Richard J Alicioglu, Gulsum "	TR	930	1045	ROBSON	121	(Class)	Main	27	27	0
21115	CS	04113	 4	INTRO OBJ-ORIENT PRGRMMNG	"Rabbitz, Richard J Alicioglu, Gulsum "	M	930	1045	ROBSON	325	(Class)	Main	27	27	0
21116	CS	04113	 5	INTRO OBJ-ORIENT PRGRMMNG	"Safko, Gregory J"	T	1530	1645	ROBSON	323	(Class)	Main	27	27	0
21117	CS	04114	 1	HONORS OBJ-ORNT PRGM/DATA ABST	"Myers, Jack F"	TR	1700	1815	ROBSON	312	(Class)	Main	24	24	0
21118	CS	04114	 2	OBJ-ORIENT PRGRM/DATA ABSTR	"Gibson, Norman"	R	1830	1945	ROBSON	312	(Class)	Main	27	27	0
21119	CS	04114	 3	OBJ-ORIENT PRGRM/DATA ABSTR	"Weissman, Stephen B"	MW	930	1045	ROBSON	312	(Class)	Main	27	27	0
21120	CS	04114	 4	OBJ-ORIENT PRGRM/DATA ABSTR	"Weissman, Stephen B"	MW	1100	1215	ROBSON	312	(Class)	Main	27	27	0
21121	CS	04114	 5	OBJ-ORIENT PRGRM/DATA ABSTR	"Weissman, Stephen B"	T	930	1045	ROBSON	312	(Class)	Main	27	27	0
21122	CS	04114	 6	OBJ-ORIENT PRGRM/DATA ABSTR	"Rabbitz, Richard J"	TR	1100	1215	ROBSON	325	(Class)	Main	27	27	0
21126	CS	04210	 1	ADV PROGRAMNG WRKSHP: JS	"Levy, Jacob Ross"	MW	1900	1950	ROBSON	312	(Class)	Main	27	27	0
21127	CS	04210	 2	ADV PROGRAMNG WRKSHP: JS	"Levy, Jacob Ross"	MW	2000	2050	ROBSON	312	(Class)	Main	27	27	0
21123	CS	04210	 3	ADV PROGRAMNG WRKSHP: UNITY/C#	"Weidner, Benjamin Daniel"	RF	800	850	ROBSON	312	(Class)	Main	27	27	0
21124	CS	04210	 4	ADV PROGRAMNG WRKSHP: UNITY/C#	"Weidner, Benjamin Daniel"	RF	930	1020	ROBSON	312	(Class)	Main	27	27	0
21125	CS	04210	 5	ADV PROGRAMNG WRKSHP: UNITY/C#	"Weidner, Benjamin Daniel"	RF	1100	1150	ROBSON	312	(Class)	Main	27	27	0
24456	CS	04215	 1	COMPUTER LAB TECHNQ	"Provine, Darren F."	TR	1230	1345	JAMES	2113	(Class)	Main	28	28	0
24457	CS	04215	 2	COMPUTER LAB TECHNQ	"Provine, Darren F."	TR	1100	1215	JAMES	2113	(Class)	Main	28	28	0
24458	CS	04215	 3	COMPUTER LAB TECHNQ	"Provine, Darren F."	MF	1100	1215	JAMES	2113	(Class)	Main	28	28	0
24459	CS	04215	 4	COMPUTER LAB TECHNQ	"Provine, Darren F."	MF	1230	1345	JAMES	2113	(Class)	Main	28	28	0
24460	CS	04215	 5	COMPUTER LAB TECHNQ	"Pugh, Brandon Scott"	M	1830	1945	JAMES	2113	(Class)	Main	28	28	0
21128	CS	04222	 1	DATA STRUCT/ALGORIM	"Bergmann, Seth"	MT	1230	1345	ROBSON	323	(Class)	Main	27	27	0
21129	CS	04222	 2	DATA STRUCT/ALGORIM	"Bergmann, Seth"	MT	1400	1515	ROBSON	323	(Class)	Main	27	27	0
21130	CS	04222	 3	DATA STRUCT/ALGORIM	"Hristescu, Gabriela"	T	1530	1645	ROBSON	325	(Lab)	Main	27	27	0
21131	CS	04222	 4	DATA STRUCT/ALGORIM	"Hristescu, Gabriela"	T	1100	1215	BUNCE	156	(Lab)	Main	31	31	0
21132	CS	04225	 1	PRINCIPLES OF DATA STRUCTURES	"Weidner, Benjamin Daniel"	MW	1700	1815	ROBSON	211	(Class)	Main	30	30	0
21133	CS	04225	 2	PRINCIPLES OF DATA STRUCTURES	"Weidner, Benjamin Daniel"	MW	1230	1345	ROBSON	121	(Class)	Main	30	30	0
21134	CS	04225	 3	PRINCIPLES OF DATA STRUCTURES	"Weidner, Benjamin Daniel"	MW	1400	1515	ROBSON	121	(Class)	Main	30	30	0
21135	CS	04225	 4	PRINCIPLES OF DATA STRUCTURES	"Stockton, Edward L"	M	1830	1945	ENTPRZ	517	(Class)	Main	30	30	0
21136	CS	04305	 1	WEB PROGRAMMING	"Pullen, Marquise Neshawntay"	W	1830	1945	ROBSON	325	(Class)	Main	27	27	0
21137	CS	04315	 1	PROGRAMMING LANGUAGES	"Tinkham, Nancy"	MW	1530	1645	ROBSON	323	(Class)	Main	30	30	0
21138	CS	04315	 2	PROGRAMMING LANGUAGES	"Tinkham, Nancy"	MW	1700	1815	ROBSON	323	(Class)	Main	30	30	0
21139	CS	04315	 3	PROGRAMMING LANGUAGES	"Weidner, Benjamin Daniel"	TR	1400	1515	ROBSON	121	(Class)	Main	30	30	0
24448	CS	04321	 1	SOFTWARE ENGINEERING I	"Myers, Jack F"	MTR	1400	1515	ROBSON	207	(Class)	Main	30	30	0
24449	CS	04321	 2	SOFTWARE ENGINEERING I	"Toporski, Neil F."	MTR	1230	1345	ROBSON	207	(Class)	Main	30	30	0
24450	CS	04321	 3	SOFTWARE ENGINEERING I	"Pierantozzi, Jeffrey C."	W	1830	1945	ROBSON	207	(Class)	Main	30	30	0
21143	CS	04380	 1	OBJECT ORIENTED DESIGN	"Baliga, Ganesh R."	MW	1530	1645	ROBSON	121	(Class)	Main	30	30	0
21190	CS	04391	 1	PARALLEL AND CONCURRENT PROG	"Guo, Guimu"	F	930	1045	ROBSON	121	(Class)	Main	30	30	0
21193	CS	04400	 2	COMP SCI-SENIOR PROJECT	"Baliga, Ganesh R."	F	930	1045	ROBSON	207	(Class)	Main	30	30	0
21194	CS	04400	 3	COMP SCI-SENIOR PROJECT	"Baliga, Ganesh R."	F	1100	1215	ROBSON	207	(Class)	Main	30	30	0
21196	CS	04401	 1	COMPILER DESIGN	"Bergmann, Seth"	TR	930	1045	ROBSON	323	(Class)	Main	30	30	0
24442	CS	04444	 1	HUMAN-COMPUTER INTERACTION	"Togashi, Michele Mayumi"	T	1830	1945	ROBSON	323	(Class)	Main	30	30	0
21219	CS	04471	 1	TOPICS IN MOBILE PROGRAMMING	"Robinson, John H."	MW	1700	1815	ROBSON	121	(Class)	Main	30	30	0
20502	CS	04515	 1	EMBEDDED SYSTEMS PROG	"McKee, Patrick M"	T	800	915	ROBSON	207	(Class)	Main	15	15	0
21221	CS	04524	 1	AGILE SOFTWARE ENGINEERING	"Vemulakonda, Padmalatha"	R	1830	1945	ROBSON	121	(Class)	Main	30	30	0
21224	CS	04563	 1	PARALLEL AND CONCURRENT PROG	"Guo, Guimu"	W	1530	1645	ROBSON	207	(Class)	Main	30	30	0
21225	CS	06205	 1	COMPUTER ORGANIZATION	"Ivanov, Nick"	MF	930	1045	ROBSON	323	(Class)	Main	30	30	0
21226	CS	06205	 2	COMPUTER ORGANIZATION	"Ivanov, Nick"	MF	1100	1215	ROBSON	323	(Class)	Main	30	30	0
21227	CS	06205	 3	COMPUTER ORGANIZATION	"Kokalj-Filipovic, Silvija"	TR	930	1045	ROBSON	211	(Class)	Main	30	30	0
21228	CS	06205	 4	COMPUTER ORGANIZATION	"Fiedler, Frank"	MF	1100	1215	ROBSON	211	(Class)	Main	30	30	0
24445	CS	06395	 1	OPERATING SYSTEMS	"McKee, Patrick M"	MF	800	915	ROBSON	211	(Class)	Main	30	30	0
24446	CS	06395	 2	OPERATING SYSTEMS	"Ghen, Michael"	TR	800	915	ROBSON	323	(Class)	Main	30	30	0
24447	CS	06395	 3	OPERATING SYSTEMS	"McKee, Patrick M"	MF	930	1045	ROBSON	211	(Class)	Main	0	0	0
21229	CS	06410	 1	DATA COMM/NETWORKING	STAFF							Main	0	0	0
20505	CS	06420	 1	EMBEDDED SYSTEMS PROGRAMMING	"McKee, Patrick M"	T	800	915	ROBSON	207	(Class)	Main	15	15	0
21231	CS	07210	 1	FOUNDATIONS COMP SCI	"Tinkham, Nancy"	MW	1230	1345	ROBSON	211	(Class)	Main	30	30	0
21232	CS	07210	 2	FOUNDATIONS COMP SCI	"Tinkham, Nancy"	TR	1700	1815	ROBSON	211	(Class)	Main	30	30	0
21233	CS	07210	 3	FOUNDATIONS COMP SCI	"Kay, Jennifer S."	MW	1400	1515	ROBSON	211	(Class)	Main	30	30	0
21234	CS	07210	 4	HONORS FOUNDATIONS COMP SCI	"Kay, Jennifer S."	MW	1530	1645	ROBSON	211	(Class)	Main	24	24	0
21235	CS	07210	 5	FOUNDATIONS COMP SCI	"Kay, Jennifer S."	MW	930	1045	ROBSON	121	(Class)	Main	30	30	0
21239	CS	07340	 1	DES-ANLYS ALGORITHMS	"Lobo, Andrea F."	TR	1100	1215	ROBSON	211	(Class)	Main	30	30	0
21240	CS	07340	 2	DES-ANLYS ALGORITHMS	"Lobo, Andrea F."	TR	1230	1345	ROBSON	211	(Class)	Main	30	30	0
21241	CS	07340	 3	DES-ANLYS ALGORITHMS	"Hristescu, Gabriela"	WF	1230	1345	ROBSON	323	(Class)	Main	30	30	0
20558	CS	07459	 1	MODELS OF DEEP LEARNING	"Kokalj-Filipovic, Silvija"	R	1400	1515	ROBSON	211	(Class)	Main	15	15	0
21249	CS	07460	 1	COMPUTER VISION	"Rabbitz, Richard J"	R	1530	1645	ROBSON	323	(Class)	Main	30	30	0
21251	CS	07540	 1	ADV DESIGN & ANALY OF ALGOR	"Fiedler, Frank"	T	1100	1215	JAMES	3114	(Class)	Main	68	68	0
21252	CS	07540	 2	ADV DESIGN & ANALY OF ALGOR	"Fiedler, Frank"	R	1100	1215	JAMES	3114	(Class)	Main	68	68	0
21253	CS	07556	 1	MACHINE LEARNING I	"Ho, Shen Shyang"	F	1230	1345	ROBSON	121	(Class)	Main	0	0	0
20560	CS	07559	 1	ADV MODELS OF DEEP LEARNING	"Kokalj-Filipovic, Silvija"	R	1400	1515	ROBSON	211	(Class)	Main	15	15	0
21254	CS	07565	 1	COMPUTER VISION	"Rabbitz, Richard J"	F	1400	1515	ROBSON	207	(Class)	Main	30	30	0
21255	CS	07595	 1	ADV TPS CS: HW & DIGITAL SYS	"Trofimoff, Alejandro Erick"	R	1530	1645	ROBSON	121	(Class)	Main	30	30	0
21256	CS	07595	 2	ADV TPS CS: FUNCTIONAL PROG	"Juneja, Badal Raghuvir"	W	1830	1945	ROBSON	323	(Class)	Main	30	30	0
24443	CS	08360	 1	INTRO COMPUTER GRAPHICS	"Rabbitz, Richard J"	M	1400	1515	ROBSON	325	(Class)	Main	13	13	0
20557	CS	08560	 1	COMPUTER GRAPHICS	"Rabbitz, Richard J"	M	1400	1515	ROBSON	325	(Class)	Main	14	14	0
24444	CS	09415	 1	WIRELESS NETWORKS & APPLIC	"Lobo, Andrea F."	T	1530	1645	ROBSON	121	(Class)	Main	15	15	0
21257	CS	09510	 1	COMPUTER NETWORKS	"Escajadillo Munoa, Jose Isaac"	R	1830	1945	JAMES	3114	(Class)	Main	68	68	0
21258	CS	09510	 2	COMPUTER NETWORKS	"Chu, Heng Yi M"	T	1100	1215	ROBSON	121	(Class)	Main	30	30	0
20552	CS	09605	 1	WIRELESS NETWORKS/SYSTEMS	"Lobo, Andrea F."	T	1530	1645	ROBSON	121	(Class)	Main	15	15	0
22275	CS	10271	 1	INTRO TO ANDROID PROGRAMMING	"Robinson, John H."	MW	1530	1645	ROBSON	312	(Class)	Main	27	27	0
21259	CS	10310	 1	INTRO TO WEB DEVELOPMENT	"Burns, Edward Ewing"	T	1830	1945	JAMES	2113	(Class)	Main	27	27	0
21261	CS	10310	 2	INTRO TO WEB DEVELOPMENT	"Hoxworth, Ryan"	R	1830	1945	ROBSON	325	(Class)	Main	27	27	0
21262	CS	10310	 3	"INTRO TO WEB DEVELOPMENT3+1 students only "	"Hoxworth, Ryan"							Online	0	0	0
21263	CS	10337	 1	APPLIED DATABASE TECHNOLOGIES	"Quinn, Philip Scott"	T	1830	1945	ROBSON	312	(Class)	Main	27	27	0
21265	CS	10342	 1	WEB SERVER PLATFORMS	"Singer, Steven"	W	930	1045	ROBSON	325	(Class)	Main	27	27	0
21266	CS	10430	 1	COMP INFORMATICS CAPSTONE EXP	"Toporski, Neil F."	T	1100	1215	ROBSON	207	(Class)	Main	30	30	0
21268	CS	10430	 2	COMP INFORMATICS CAPSTONE EXP	"Toporski, Neil F."	R	1100	1215	ROBSON	207	(Class)	Main	30	30	0
21269	CS	10430	 3	"COMP INFORMATICS CAPSTONE EXP3+1 students only "	"Toporski, Neil F."							Online	0	0	0
20563	CS	99300	 1	COMPUTER FLD EXPER	"Chien, Chia C"							Off-campus	0	0	0
21271	CST	02110	 1	IMPLEMENTATIONS OF SQL I	"Orta, Rafael J"							Online	35	35	0
21272	CST	03201	 1	SECURITY+	"Voleti, Kousalya Soumya Lahari"							Online	35	35	0
21273	CST	03218	 1	ETHICAL HACKING FUNDAMENTALS	"Tarabah, Sally"							Online	35	35	0
21274	CST	03252	 1	FOUND OF COMPUTER FORENSICS	"Shah, Deval"	W	1830	1945	ROBSON	121	(Class)	Main	30	30	0
21288	CST	03315	 1	ADVANCED PENETRATION TESTING	"Dostal, Cody William"							Online	35	35	0
21289	CST	03370	 1	IDS/IPS ADMINISTRATION	"Shelar, Akash"							Online	35	35	0
21290	CST	03410	 1	CYBER DEFENSE	"Brickley, Joseph Carl"							Online	35	35	0
21291	CST	03418	 1	ADV TOPICS IN ETHICAL HACKING	"Dostal, Cody William"							Online	35	35	0
21292	CST	06220	 1	LINUX/UNIX ESSENTIALS	STAFF							Online	0	0	0
21293	CST	06225	 1	LINUX/UNIX ADMINISTRATION	"Green, Brian Christopher"							Online	35	35	0
21294	CST	06230	 1	MICROCOMP OP SYSTEMS I: WORKS	"Dorsey, Stephen"							Online	35	35	0
21295	CST	09210	 1	INTRO COMP NTWRKS/DATA COMM	"Chu, Heng Yi M"							Online	35	35	0
21296	CST	09210	 2	INTRO COMP NTWRKS/DATA COMM	"Chu, Heng Yi M"							Online	35	35	0
21297	CST	09210	 3	INTRO COMP NTWRKS/DATA COMM	"Garron, Harold John"							Online	35	35	0
21298	CST	09290	 1	INTERMEDIATE NETWORKING	"Chu, Heng Yi M"							Online	35	35	0
21299	CST	09310	 1	NETWORK SUPPORT AND TROUBLESHO	"Ramsaran, Arnold Mahendra"							Online	35	35	0
20856	CURR	29590	 1C	CURRICULUM EVALUATION	STAFF							Online	20	20	0
20857	CURR	29590	 2C	CURRICULUM EVALUATION	STAFF							Online	0	0	0
24421	DA	03510	 1	PATIENT DATA UNDERSTANDING	"Poolos, Kimberly Rose"							Online	35	35	0
21300	DA	03511	 1	PATIENT DATA PRIVACY & ETHICS	"Diaz, Erika Mae"							Online	35	35	0
21962	DI	68520	 1	TPCS IN DI: DISABILITY IN LIT	"Hammond, Yvonne Michelle"	M	1700	1815	HAWTHN	204	(Class)	Main	15	15	0
22211	DPEM	00101	 1	INTRO TO EMG MGMT/HOMELAND SEC	"Parker, Carlos Levelto"	MW	1100	1215	DISCOV	101	(Class)	Main	30	30	0
22212	DPEM	00101	 2	INTRO TO EMG MGMT/HOMELAND SEC	"Dever, Jeffrey Michael"	W	1830	1945	LBRARY	226	(Class)	Main	35	35	0
24222	DPEM	00310	 1C	CRIT INFRSTC EM & HOMLND SEC	"Carr, Kristen Lynn"	W	1830	1945	(Class)			Camden	22	22	0
24223	DPEM	00356	 1C	"MASS CASUALTY, ACTIVE SHOOTER"	"Luko, Timothy M"	T	1830	1945	BOZ	131	(Class)	Main	26	26	0
24224	DPEM	00370	 1C	RSRCH DATA ANLYS EMERG MGT	"Carty, Kimberly S"	R	1830	1945	(Class)			Camden	22	22	0
24225	DPEM	00391	 1C	NATURAL & TECH HAZ: MIT/RESPON	"Godish, Gregory M"	M	1830	1945	(Class)			Camden	22	22	0
24226	DPEM	00410	 1	PUB LEADER IN CRISIS MGMT/COMM	"Roberts, Ronald Bernard"	TR	1100	1215	BUSN	201	(Class)	Main	22	22	0
24227	DPEM	00451	 1	COUNTER AND NAT SEC ISSUES	"DeMaise, Christopher Michael"	W	1830	1945	BOZ	130	(Class)	Main	26	26	0
24228	DPEM	00480	 1	ADV TOP: HUMAN TRAFF IN HOMELA	"Parker, Carlos Levelto"	MW	1230	1345	DISCOV	118	(Class)	Main	25	25	0
24230	DPEM	00500	 1C	CMPLX ORG THEORY EMERG SRV	"Clark, Len Elisha"							Online	20	20	0
24231	DPEM	00531	 1C	CYB SEC RISK ANALYS HMLND SEC	"Carr, Kristen Lynn"	W	1830	1945	ROBSON	308	(Class)	Main	20	20	0
24232	DPEM	00600	 1C	PUB BUDGET FIN EMERG MANAGERS	"Godish, Gregory M"							Online	15	15	0
24233	DPEM	00610	 1C	ADV EXERCISE DSGN EVALUATION	"Gorman, Patrick"	R	1830	1945	(Class)			Camden	15	15	0
24234	DPEM	00615	 1C	MGT FIRST RESPOND ORGS	"Mangeri, Anthony S"	M	1830	1945	(Class)			Camden	15	15	0
24235	DPEM	00652	 1C	CONTINUITY OF OPERATIONS	STAFF	T	1830	1945	ROBSON	308	(Class)	Main	20	20	0
22230	DPEM	00680	 1C	CAP EXP EMRGCY THRT RESP MGMT	STAFF							Camden	15	15	0
22231	DPEM	00689	 1C	THESIS: EMRG THRT RESP MGMT I	STAFF							Camden	0	0	0
24229	DPEM	43495	 1C	"INTERN IN DIS PREP & EMERG MGTStudents must contact Dr. Clark "	"Clark, Len Elisha"							Camden	0	0	0
21896	DS	02395	 1	"SP TPS IN DS: SMART DRONESSmart Drones and Robots -Artificial Intelligence and Autonomous Vehicles "	"Nguyen, Hieu Duc"	T	1700	1815	ROBSON	212	(Class)	Main	25	25	0
22278	DS	02510	 1	VISUAL ANALYTICS	"Sun, Bo"	R	1230	1345	ROBSON	323	(Class)	Main	30	30	0
22280	DS	02510	 2	VISUAL ANALYTICS	"Sun, Bo"	T	1400	1515	ROBSON	211	(Class)	Main	30	30	0
21302	DS	02695	 2	ADV TPS DS: APPLIED DATA SCI	"Banerjee, Protima"	F	930	1045	JAMES	3114	(Class)	Main	60	60	0
24366	DS	02695	 3	ADV TPS DS: SMART DRONES	"Nguyen, Hieu Duc"	T	1700	1815	ROBSON	212	(Class)	Main	10	10	0
24029	ECE	09205	 1	PRINC/APPL OF ECE FOR NONMAJOR	STAFF	MW	1100	1215	JAMES	3091A	(Class)	Main	20	20	0
24030	ECE	09205	 2	PRINC/APPL OF ECE FOR NONMAJOR	"Fifth, Adam"	MW	1100	1215	JAMES	3091A	(Class)	Main	20	20	0
24031	ECE	09241	 1	INTRO TO DIGITAL SYSTEMS	"Tang, Ying Trafford, Russell H "	M	1100	1215	ENGR	341	(Class)	Main	20	20	0
24032	ECE	09241	 2	INTRO TO DIGITAL SYSTEMS	STAFF	M	1400	1515	ENGR	341	(Class)	Main	20	20	0
24033	ECE	09241	 3	INTRO TO DIGITAL SYSTEMS	STAFF	M	1530	1645	ENGR	341	(Class)	Main	20	20	0
24034	ECE	09241	 4	INTRO TO DIGITAL SYSTEMS	STAFF	R	1100	1215	ENGR	338	(Class)	Main	20	20	0
24035	ECE	09311	 1	ELECTRONICS I	STAFF	MW	1100	1215	ENGR	338	(Class)	Main	20	20	0
24036	ECE	09311	 2	ELECTRONICS I	STAFF	TR	1100	1215	JAMES	3091A	(Class)	Main	20	20	0
24037	ECE	09311	 3	ELECTRONICS I	STAFF	M	1400	1515	ENGR	338	(Class)	Main	20	20	0
24042	ECE	09321	 1	SYSTEMS AND CONTROL I	STAFF	MW	1400	1515	ENGR	319	(Class)	Main	20	20	0
24055	ECE	09321	 2	SYSTEMS AND CONTROL I	STAFF	MW	1400	1515	ENGR	319	(Class)	Main	20	20	0
24057	ECE	09321	 3	SYSTEMS AND CONTROL I	STAFF	MW	930	1045	ENGR	319	(Class)	Main	20	20	0
24038	ECE	09342	 1	INTRO TO EMBEDDED SYSTEMS	STAFF	TR	930	1045	ENGR	319	(Class)	Main	20	20	0
24039	ECE	09342	 2	INTRO TO EMBEDDED SYSTEMS	STAFF	TR	930	1045	ENGR	319	(Class)	Main	20	20	0
24040	ECE	09342	 3	INTRO TO EMBEDDED SYSTEMS	STAFF	TR	1530	1645	ENGR	319	(Class)	Main	20	20	0
24041	ECE	09342	 4	INTRO TO EMBEDDED SYSTEMS	STAFF	M	800	915	ENGR	338	(Class)	Main	20	20	0
24059	ECE	09351	 1	DIGITAL SIGNAL PROCESSING	STAFF	MR	800	915	ENGR	319	(Class)	Main	20	20	0
24061	ECE	09351	 2	DIGITAL SIGNAL PROCESSING	STAFF	MT	1100	1215	ENGR	319	(Class)	Main	20	20	0
24063	ECE	09351	 3	DIGITAL SIGNAL PROCESSING	STAFF	MT	1100	1215	ENGR	(Class)		Main	20	20	0
24066	ECE	09363	 1	"MODULES IN ECENew, topics based Modules in ECE "	STAFF	W	800	915	ENGR	319	(Class)	Main	35	35	0
